timeStamp,elapsed,label,responseMessage
1354360414388,15,signInUser,OK
1354360414420,14,listCategories,OK
1354360414508,22,listMovieByCategory,OK
1354360414544,5,viewCart,OK
1354360407182,7725,searchMovie,OK
1354360414920,31,searchUser,OK
1354360408122,6853,searchMovie,OK
1354360414975,10,signInUser,OK
1354360414998,21,searchUser,OK
1354360415035,5,signInUser,OK
1354360415052,8,listCategories,OK
1354360414998,76,listCategories,OK
1354360415072,12,listMovieByCategory,OK
1354360415145,8,viewCart,OK
1354360415142,20,listMovieByCategory,OK
1354360415177,6,viewCart,OK
1354360408594,6922,searchMovie,OK
1354360415529,19,searchUser,OK
1354360415564,6,signInUser,OK
1354360415581,16,listCategories,OK
1354360415608,23,listMovieByCategory,OK
1354360415646,36,viewCart,OK
1354360408373,8380,searchMovie,OK
1354360416766,21,searchUser,OK
1354360416804,15,signInUser,OK
1354360416833,4,listCategories,OK
1354360416848,25,listMovieByCategory,OK
1354360416887,5,viewCart,OK
1354360410737,6660,searchMovie,OK
1354360417410,32,searchUser,OK
1354360417458,16,signInUser,OK
1354360417485,14,listCategories,OK
1354360417511,55,listMovieByCategory,OK
1354360417597,76,viewCart,OK
1354360413941,5049,searchMovie,OK
1354360419004,174,searchUser,OK
1354360419195,5,signInUser,OK
1354360419212,14,listCategories,OK
1354360419237,15,listMovieByCategory,OK
1354360419266,16,viewCart,OK
1354360411305,7989,searchMovie,OK
1354360419307,131,searchUser,OK
1354360419460,15,signInUser,OK
1354360419486,13,listCategories,OK
1354360419511,23,listMovieByCategory,OK
1354360419548,15,viewCart,OK
1354360414561,6170,searchMovie,OK
1354360420751,30,searchUser,OK
1354360420796,16,signInUser,OK
1354360420823,5,listCategories,OK
1354360420839,12,listMovieByCategory,OK
1354360420868,46,viewCart,OK
1354360414247,6981,searchMovie,OK
1354360421242,31,searchUser,OK
1354360416904,4389,searchMovie,OK
1354360415694,5586,searchMovie,OK
1354360421305,5,signInUser,OK
1354360421328,10,listCategories,OK
1354360421327,21,searchUser,OK
1354360421349,25,listMovieByCategory,OK
1354360421327,31,searchUser,OK
1354360421372,16,signInUser,OK
1354360413247,8168,searchMovie,OK
1354360421404,11,signInUser,OK
1354360421401,18,viewCart,OK
1354360421406,37,listCategories,OK
1354360421438,31,searchUser,OK
1354360421441,4,listCategories,OK
1354360421456,32,listMovieByCategory,OK
1354360421510,7,signInUser,OK
1354360421511,6,viewCart,OK
1354360421511,18,listMovieByCategory,OK
1354360421543,5,listCategories,OK
1354360421568,13,listMovieByCategory,OK
1354360421566,8,viewCart,OK
1354360421628,75,viewCart,OK
1354360415169,7952,searchMovie,OK
1354360423139,30,searchUser,OK
1354360423184,15,signInUser,OK
1354360423210,4,listCategories,OK
1354360423225,34,listMovieByCategory,OK
1354360423273,16,viewCart,OK
1354360415194,8516,searchMovie,OK
1354360423725,20,searchUser,OK
1354360423760,15,signInUser,OK
1354360423793,4,listCategories,OK
1354360423809,20,listMovieByCategory,OK
1354360423852,14,viewCart,OK
1354360419574,5165,searchMovie,OK
1354360424755,153,searchUser,OK
1354360424925,5,signInUser,OK
1354360424941,5,listCategories,OK
1354360424957,22,listMovieByCategory,OK
1354360424993,15,viewCart,OK
1354360417684,7652,searchMovie,OK
1354360425351,59,searchUser,OK
1354360425425,14,signInUser,OK
1354360425450,14,listCategories,OK
1354360425475,23,listMovieByCategory,OK
1354360425512,15,viewCart,OK
1354360419298,7246,searchMovie,OK
1354360426559,18,searchUser,OK
1354360426593,5,signInUser,OK
1354360420926,5677,searchMovie,OK
1354360426621,4,listCategories,OK
1354360426639,20,listMovieByCategory,OK
1354360426621,39,searchUser,OK
1354360426682,23,viewCart,OK
1354360426682,5,signInUser,OK
1354360426763,78,listCategories,OK
1354360426853,23,listMovieByCategory,OK
1354360426891,17,viewCart,OK
1354360421555,6039,searchMovie,OK
1354360427608,31,searchUser,OK
1354360427655,16,signInUser,OK
1354360427682,15,listCategories,OK
1354360427711,67,listMovieByCategory,OK
1354360427793,15,viewCart,OK
1354360421715,8203,searchMovie,OK
1354360421628,8595,searchMovie,OK
1354360429933,436,searchUser,OK
1354360430237,125,searchUser,OK
1354360421441,8944,searchMovie,OK
1354360430404,6,signInUser,OK
1354360430405,21,signInUser,OK
1354360430421,6,listCategories,OK
1354360430406,37,searchUser,OK
1354360430459,5,listCategories,OK
1354360430462,14,signInUser,OK
1354360430460,18,listMovieByCategory,OK
1354360430491,13,listMovieByCategory,OK
1354360430520,5,listCategories,OK
1354360430523,15,viewCart,OK
1354360430537,14,listMovieByCategory,OK
1354360430523,17,viewCart,OK
1354360430569,37,viewCart,OK
1354360423300,7887,searchMovie,OK
1354360431202,29,searchUser,OK
1354360431247,14,signInUser,OK
1354360431273,12,listCategories,OK
1354360431297,13,listMovieByCategory,OK
1354360423877,7447,searchMovie,OK
1354360431328,18,viewCart,OK
1354360431341,22,searchUser,OK
1354360431379,25,signInUser,OK
1354360431416,14,listCategories,OK
1354360425539,5933,searchMovie,OK
1354360431442,136,listMovieByCategory,OK
1354360431486,101,searchUser,OK
1354360431600,8,viewCart,OK
1354360431605,23,signInUser,OK
1354360426919,4760,searchMovie,OK
1354360431694,19,searchUser,OK
1354360431729,5,signInUser,OK
1354360427820,4971,searchMovie,OK
1354360432805,21,searchUser,OK
1354360432843,5,signInUser,OK
1354360425020,7911,searchMovie,OK
1354360432945,20,searchUser,OK
1354360432980,5,signInUser,OK
1354360426763,6466,searchMovie,OK
1354360433243,20,searchUser,OK
1354360433278,9,signInUser,OK
1354360430617,3604,searchMovie,OK
1354360434235,20,searchUser,OK
1354360434270,5,signInUser,OK
1354360430559,4024,searchMovie,OK
1354360434597,20,searchUser,OK
1354360434631,5,signInUser,OK
1354360431359,3509,searchMovie,OK
1354360434876,15,searchUser,OK
1354360434902,5,signInUser,OK
1354360430570,4627,searchMovie,OK
1354360435205,16,searchUser,OK
1354360435231,4,signInUser,OK
1354360431628,3658,searchMovie,OK
1354360435295,13,searchUser,OK
1354360435320,5,signInUser,OK
1354360653224,679,listCategories,OK
1354360653727,185,listCategories,OK
1354360653832,79,listCategories,OK
1354360653326,585,listCategories,OK
